Channels,Contacts,Zones
MM/Peter 430,Kitsap CARC,
MM/Wes 430,Wash ARES,
Coeur d'Alene,Idaho ARES 2,
Lewiston ID,SoCal 2,
Poteros/Goat Mtn,Utah 2,
Prineville/Town,,
Saint Maries ID,,
Sultan/Haystack,,
BC:Whisler/Black,,
BC:NewWstmnstr,,
BC:Vancouver/Sey,,
BC:Squamish,,
BC:W.Vancvr/Ambl,,
Tulalip/Tulalip,,
BM Port Townsend,,
CC Port Angeles,,
CC Sequim,,
Sequim KC7EQO,,
BM Ferndale,,
BM Scappoose,,
MM/RexX 2Slot,,
MM/Otis 430,,
MM/Demi 2Slot,,
MM/Bridget 430,,
MM/Ned,,
MM/Suzy 430,,
